epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.781,1.73597,3.06856,1.93281,0.004,1,0.64237,0.39643,1.33451,3.2767,1.56684,0.0002,0.0002,0.0002
2,154.712,1.32912,1.82373,1.3859,0.00803,1,0.92855,0.54158,1.22164,2.86472,1.56807,0.000411684,0.000411684,0.000411684
3,228.104,1.2549,1.51426,1.29505,0.99418,0.91667,0.96631,0.61271,1.25884,2.34145,1.65146,0.000614656,0.000614656,0.000614656
4,300.194,1.23755,1.31988,1.27312,0.97321,0.83333,0.94356,0.60309,1.3269,2.04298,1.52209,0.000808916,0.000808916,0.000808916
5,372.309,1.32092,1.41066,1.33972,0.94302,0.91945,0.96032,0.59721,1.27328,2.15272,1.71601,0.000994464,0.000994464,0.000994464
6,445.171,1.26353,1.37256,1.35644,0.93839,0.88889,0.93493,0.49395,1.37097,2.44609,1.61767,0.0011713,0.0011713,0.0011713
7,517.112,1.25586,1.33939,1.31551,0.9685,0.85423,0.92131,0.57139,1.288,2.16958,1.74999,0.00133942,0.00133942,0.00133942
8,590.923,1.27653,1.23855,1.29696,1,0.79298,0.90309,0.55826,1.35973,1.95827,1.6792,0.00149884,0.00149884,0.00149884
9,663.345,1.24024,1.19874,1.34169,0.94078,0.80556,0.90856,0.57308,1.29832,1.82618,1.58135,0.00164954,0.00164954,0.00164954
10,736.196,1.25924,1.14516,1.31439,0.71771,0.61111,0.6638,0.34054,1.76855,2.3706,1.92945,0.0016436,0.0016436,0.0016436
11,807.903,1.26181,1.16005,1.32826,0.85751,0.86111,0.9065,0.43116,1.54181,1.73777,1.73623,0.001604,0.001604,0.001604
12,879.543,1.2322,1.12023,1.29351,0.87367,0.83333,0.91606,0.55878,1.37184,1.48806,1.57715,0.0015644,0.0015644,0.0015644
13,950.958,1.17932,0.96422,1.24264,0.96614,0.79287,0.92331,0.6008,1.33879,1.42508,1.65706,0.0015248,0.0015248,0.0015248
14,1022.12,1.18976,0.95363,1.24789,0.95909,0.91667,0.92745,0.56781,1.37654,1.32544,1.61258,0.0014852,0.0014852,0.0014852
15,1092.97,1.15648,0.91584,1.22658,0.96394,0.88889,0.89044,0.55563,1.446,1.18702,1.65978,0.0014456,0.0014456,0.0014456
16,1164.64,1.15493,0.91104,1.23473,0.9432,0.92265,0.97491,0.62681,1.2915,0.97362,1.5299,0.001406,0.001406,0.001406
17,1237.34,1.13013,0.92066,1.23422,0.94096,0.94444,0.96161,0.62361,1.20044,0.94517,1.45769,0.0013664,0.0013664,0.0013664
18,1308.87,1.16345,0.88987,1.23699,0.96621,0.88889,0.90246,0.61177,1.28985,1.23828,1.45322,0.0013268,0.0013268,0.0013268
19,1379.92,1.1376,0.86242,1.23098,0.9686,0.86111,0.87769,0.58078,1.25299,1.24969,1.46918,0.0012872,0.0012872,0.0012872
20,1450.67,1.14857,0.85309,1.22136,0.9974,0.86111,0.89165,0.5925,1.30746,1.18789,1.55449,0.0012476,0.0012476,0.0012476
21,1521.74,1.10528,0.75812,1.18133,1,0.88309,0.9416,0.61308,1.24118,1.11617,1.46761,0.001208,0.001208,0.001208
22,1592.28,1.12465,0.80526,1.21985,0.97037,0.90999,0.94548,0.66655,1.15295,0.9528,1.36762,0.0011684,0.0011684,0.0011684
23,1668.61,1.15422,0.80977,1.21146,0.98295,0.91667,0.9817,0.6726,1.1519,0.91372,1.32784,0.0011288,0.0011288,0.0011288
24,1735.46,1.14754,0.80645,1.23839,1,0.9094,0.98122,0.66203,1.14674,0.83169,1.37967,0.0010892,0.0010892,0.0010892
25,1801.98,1.05749,0.74343,1.15806,0.99206,0.91667,0.98833,0.66926,1.18297,0.76352,1.36513,0.0010496,0.0010496,0.0010496
26,1872.4,1.10698,0.75674,1.21762,0.99684,0.88889,0.97805,0.61081,1.3675,0.78378,1.54505,0.00101,0.00101,0.00101
27,1942.73,1.03602,0.70619,1.13679,0.96788,0.97222,0.99131,0.61351,1.33646,0.71042,1.54038,0.0009704,0.0009704,0.0009704
28,2013.3,1.01676,0.69322,1.12485,0.94132,0.97222,0.99022,0.65709,1.24841,0.72214,1.41829,0.0009308,0.0009308,0.0009308
29,2085.9,1.06415,0.7312,1.19251,1,0.88692,0.98246,0.65557,1.26164,0.73175,1.44593,0.0008912,0.0008912,0.0008912
30,2157.35,1.01532,0.70525,1.15857,0.93997,0.94444,0.98473,0.6403,1.26678,0.72681,1.45887,0.0008516,0.0008516,0.0008516
31,2227.11,1.00805,0.66771,1.13784,1,0.91008,0.987,0.63205,1.29541,0.70464,1.47879,0.000812,0.000812,0.000812
32,2301.73,1.04442,0.71759,1.18819,0.94399,0.93657,0.97888,0.64424,1.22272,0.69157,1.37663,0.0007724,0.0007724,0.0007724
33,2378.1,0.95923,0.62066,1.12457,0.9637,0.91667,0.98553,0.66137,1.17611,0.65328,1.35011,0.0007328,0.0007328,0.0007328
34,2453.57,0.98159,0.62511,1.13211,0.94181,1,0.99151,0.65689,1.19401,0.63748,1.40596,0.0006932,0.0006932,0.0006932
35,2527.25,0.95178,0.63976,1.12676,0.9728,0.99371,0.99365,0.63713,1.2688,0.62379,1.45465,0.0006536,0.0006536,0.0006536
36,2603.53,0.95983,0.60773,1.11947,1,0.97088,0.995,0.65469,1.21925,0.61839,1.41547,0.000614,0.000614,0.000614
37,2678.31,0.9857,0.65417,1.12405,0.9951,0.97222,0.99346,0.66328,1.18058,0.62444,1.38486,0.0005744,0.0005744,0.0005744
38,2756.19,0.9265,0.59987,1.10638,1,0.96763,0.991,0.65285,1.22913,0.65485,1.42507,0.0005348,0.0005348,0.0005348
39,2829.96,0.98544,0.63935,1.13866,0.99901,0.91667,0.98637,0.65849,1.1792,0.67922,1.388,0.0004952,0.0004952,0.0004952
40,2904.6,0.94421,0.59101,1.12077,0.96879,0.91667,0.98169,0.64708,1.2139,0.66214,1.42587,0.0004556,0.0004556,0.0004556
41,2977.7,0.85643,0.59691,1.12734,0.99955,0.91667,0.97929,0.67567,1.1577,0.67482,1.39574,0.000416,0.000416,0.000416
42,3049.93,0.86068,0.54893,1.13702,0.97092,0.92749,0.97629,0.64725,1.22004,0.69625,1.44082,0.0003764,0.0003764,0.0003764
43,3118.57,0.86782,0.54992,1.13623,1,0.88702,0.96422,0.62745,1.23354,0.69878,1.46535,0.0003368,0.0003368,0.0003368
44,3190.14,0.86392,0.53748,1.13125,1,0.88297,0.96474,0.61398,1.24833,0.69281,1.5223,0.0002972,0.0002972,0.0002972
45,3263.96,0.81408,0.50596,1.09577,0.93245,0.94444,0.96769,0.62978,1.1934,0.6764,1.44666,0.0002576,0.0002576,0.0002576
46,3334.37,0.81,0.49493,1.05223,0.93914,0.94444,0.97554,0.63709,1.19182,0.6405,1.43111,0.000218,0.000218,0.000218
47,3414.65,0.7882,0.47124,1.06055,0.96527,0.94444,0.9749,0.65697,1.1972,0.63775,1.43254,0.0001784,0.0001784,0.0001784
48,3488.99,0.75666,0.47691,1.08974,0.96967,0.94444,0.97634,0.66527,1.18707,0.6175,1.42444,0.0001388,0.0001388,0.0001388
49,3553.32,0.71843,0.45403,1.01912,0.9714,0.94361,0.97714,0.66155,1.18266,0.61253,1.42145,9.92e-05,9.92e-05,9.92e-05
50,3620.94,0.72101,0.44159,1.01553,1,0.90991,0.97802,0.65431,1.19372,0.61012,1.43346,5.96e-05,5.96e-05,5.96e-05
